id_estudiante,id_periodo,programa,cohorte,estatus_academico,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
IAG20200007,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,-0.730131984968801,-0.01660755330389145,-2.4151315938594586,-1.7205515298466307,0.33802247626127546,0.21298009422849215,0.9410605414198784,0.5463999593856896,-1.2821724945705157,1.3738088503559787,-0.17906585225585753,0.0511600029213733,0.2498017400947616
IAG20200007,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,-0.9324368800259865,0.9921597010760281,-2.48049353999245,0.07976857514606459,-0.6734469259683452,-0.1878663926592947,-0.17856924184550999,1.0973063132419862,-0.18336966875479094,0.31385944920369074,0.5441054480857109,0.8059670766653143,-0.046050938538523954
IAG20200007,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,-1.029568358283324,1.2015766622172404,-2.3460133606330995,-1.1761716607797295,-0.8484182178965084,0.5711944564568769,1.018354378854777,-0.6402688292243287,0.16750140329483015,0.9239881606378006,-0.5272864658908478,-0.5209073076546337,-0.4935568040103731
IAG20200029,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,-0.3817373039015764,2.619972407289967,-2.0543474433301228,0.6052026117758661,-0.6573027805155994,-2.302584048009088,2.399800035287329,0.7638408964845905,0.9886192057170843,-1.0608877513690211,-0.8698964140111171,0.15979112071480742,0.7195735657476892
IAG20200029,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,4.516764032310127,-2.447109877146001,-2.463463174286038,1.3431976824180034,1.5571443997762175,0.36573072208118274,-0.2621224189719601,-0.06422309527553685,0.4018625427791219,-1.3645226194340379,-0.38237312018000746,-0.42128040303626585,0.07857569162020037
IAG20200039,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,-0.5969358876395365,2.1324529960215095,-2.8997048531033585,0.1874256442481596,0.8004202686951647,0.4504087767260102,-0.7136792011115763,0.9361060996774108,0.14678736755142216,-1.4984096443977053,-0.31028286231880847,0.1814860578975393,0.722915076909809
IAG20200039,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,-0.915343262192797,0.7871114643934329,-2.0170969553012625,-1.471484463197742,0.35122092096373553,0.4337092922777773,-0.21788257695444466,0.498900054844921,0.8702491972811152,0.5553842781916464,-0.3835409108263943,1.0115115496762253,0.6290199628413201
IAG20200039,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,-1.2156565238981305,5.499215890890247,-2.72707097834504,1.0147370711665733,-0.04700624504082383,0.1169660493545003,-0.05696931565912831,-0.6163427429960907,0.2143723792118332,0.8367008921743482,0.3846992438585013,1.1415495169322716,0.2736935540557302
IAG20200051,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,0.41306532408918445,-0.12092674983377681,-2.0257129304542443,-0.4980968439972615,-1.8350635242159703,-0.314825826214196,0.652665019718641,0.1282847083735139,0.2980853954066558,0.10508801670719294,0.4107294746156936,0.24956693084012452,0.7742284521157724
IAG20200051,Mayo-Agosto 2023,Ingeniería Agroindustrial,2020,Irregular,0.5855628192598863,-1.1400969818136233,-1.6136685913053426,-2.3534789095593727,0.10339960004913812,-0.45841378436681524,-0.4626262152050527,-0.3676095892545194,1.8602563294772778,0.118034612611975,1.0321092096299869,1.372822768205886,1.051349026973952
IAG20200051,Septiembre-Diciembre 2022,Ingeniería Agroindustrial,2020,Irregular,-0.13417713974786907,-3.574637999293368,-2.302305651064163,0.4364230506720913,0.8698463053485976,0.9140586187315994,1.1707122211168495,-0.25061529567170104,0.6154128614954759,-0.7742810673931586,0.21521064290416222,0.05517736563503699,-0.8224099077215657
IAG20200051,Septiembre-Diciembre 2023,Ingeniería Agroindustrial,2020,Irregular,5.591682705355536,1.5545067583991583,-1.9241217488839413,-0.9915653596334663,1.1036636536140383,0.07506749713395423,0.3870632055254513,-0.5754446774292794,0.8798002964298519,-0.004363314507261856,-1.1822505362096882,-0.6416763375367438,-0.26468682849186687
IAG20200084,Enero-Abril 2023,Ingeniería Agroindustrial,2020,Irregular,2.1541096110787894,0.7214380034434371,-1.5875952516348248,-0.1436189826795194,-1.542158533797053,2.3057854645238494,0.5151995493372273,0.7384789744170546,-0.21424413850499222,1.7767586692504291,0.2716621274360645,-0.08949893398195624,-0.43134898553628587
