id_estudiante,id_periodo,programa,cohorte,estatus_academico,cluster,distance_to_centroid,membership_score
a7051ac3-d294-5173-9183-bc85d8d35765,2024-1,Ingenieria en Energia,2024,Regular,1,5.454197493257587,0.15493793009040324
ca6f9bd1-a8b7-520d-ae3c-cfbdfcad8967,2023-1,Ingenieria en Energia,2021,Regular,1,1.935371644927552,0.3406723648530307
2c6cceac-a7dd-5fa6-aff0-dd9c0e44f7d0,2024-2,Ingenieria en Desarrollo de Software,2022,Regular,1,2.0310316988273707,0.3299206670741433
fca0dbba-f4cf-55c4-9c93-f136911022d7,2025-1,Ingenieria en Desarrollo de Software,2022,Regular,1,2.1537892307384574,0.31707889362214947
81f13c87-c94a-5126-ac9d-9ec101cd0da9,2024-1,Ingenieria en Desarrollo de Software,2021,Regular,1,3.4726611875740034,0.22358053920520765
14f674d3-2cf9-572d-be3b-8f534073c4fd,2024-2,Ingenieria en Energia,2023,Regular,0,3.2150393529108623,0.23724570906067827
6879877d-1fcf-50dc-a0e5-f09c2dd8100a,2023-1,Ingenieria Agroindustrial,2021,Baja Temporal,2,3.766558459548957,0.20979497230264255
a567c8e6-6ee5-5d08-81b6-e76c439042ee,2025-1,Ingenieria en Desarrollo de Software,2024,Regular,0,3.552722314213156,0.21964880152652783
9ec6c0c7-fa5e-50c1-840d-4c01763bd50a,2024-1,Ingenieria en Energia,2023,Regular,1,3.9667822461089757,0.20133759654621652
a7df975b-7ec8-5296-a6d1-e362c38154ad,2023-2,Ingenieria Agroindustrial,2023,Regular,1,3.5796051295029194,0.21835943748900077
b70f1395-40a7-52cf-8b57-705d882791d1,2023-1,Ingenieria en Energia,2020,Regular,1,3.498008223285482,0.22232062512094955
d49fe70b-748d-59d2-9911-107948b504e1,2024-1,Ingenieria Biomedica,2023,Regular,1,4.139302058405369,0.19457895033908196
92f13414-0739-5310-ac0a-4964f6514f24,2023-1,Ingenieria Agroindustrial,2022,Regular,1,2.7345311757939172,0.26777122828206457
7159b173-9ecc-50d9-85d8-baf81be2427f,2024-1,Ingenieria Agroindustrial,2021,Regular,1,3.662603193095996,0.21447246496993755
aeb75c15-099d-5377-b2e7-cbe2f751a7b3,2024-2,Ingenieria en Energia,2020,Baja Temporal,2,4.5651050280031775,0.17969112801431014
d410e5fc-2f40-54bf-af72-bccade60e117,2025-1,Ingenieria Biomedica,2023,Regular,1,2.990814099603868,0.250575440258984
44afa7f0-e37a-5bdf-8b5a-f76bc6af06e2,2023-2,Ingenieria Biomedica,2020,Regular,1,3.449337815415408,0.22475254554404653
b0b66310-071b-56cc-82f2-c6a88d25ceae,2023-2,Ingenieria en Energia,2022,Regular,0,5.957888116888284,0.14372177062933594
9946a2e9-35f6-5dbc-9490-827405ec0525,2024-1,Ingenieria en Desarrollo de Software,2021,Baja Temporal,2,6.025035504828541,0.14234803501173293
bd8f050b-1201-5194-b9e5-5d5477a07c0e,2024-2,Ingenieria en Desarrollo de Software,2021,Irregular,0,4.287330282789388,0.1891313662123712
dbbd6d6e-5ee3-5726-848e-32cbf0da130d,2023-1,Ingenieria Agroindustrial,2024,Regular,1,3.7847826522891066,0.20899590904543724
2a22d650-d71b-5721-9075-6e1164ca868e,2024-2,Ingenieria Agroindustrial,2023,Regular,1,4.7495987219147615,0.1739251812806468
a8bd50aa-c0c5-55a7-97eb-a6e815994afe,2024-1,Ingenieria Biomedica,2023,Regular,1,2.0840290485102706,0.32425116115006974
d3babf98-6f84-54ab-aea9-531e31b7feb7,2023-2,Ingenieria Agroindustrial,2022,Regular,1,2.9962580779572603,0.25023408911347467
a6ded2c6-ff24-5e27-9261-e3bffabe550e,2024-1,Ingenieria en Desarrollo de Software,2022,Regular,1,3.3411164562047184,0.23035548806130487
96106371-1255-503e-bf13-09e659a5a256,2024-2,Ingenieria Agroindustrial,2022,Regular,1,3.094362487140532,0.24423826740811885
71a9ffad-d7d6-5515-abd0-5d1b4655b0b1,2024-1,Ingenieria Agroindustrial,2022,Regular,0,3.5681192961837773,0.21890846870733072
e48cf0ee-5c51-5fd6-85f8-8bdbadf3a67a,2024-2,Ingenieria en Energia,2022,Regular,0,3.502542639571225,0.2220967306808736
2fd5be48-f22d-55da-a2cc-968e4ec06ed4,2024-1,Ingenieria Agroindustrial,2023,Regular,1,3.2203923459594557,0.2369447951817527
dff24411-4c70-5a41-943d-1bd93b56c4e1,2023-1,Ingenieria Biomedica,2023,Baja Temporal,2,3.8082197592344538,0.20797718283974942
