variable,decision,reason,variance,missing_rate,max_abs_correlation
promedio_general,include,Desempeno acumulado del estudiante.,126.26158621411412,0.0,0.777984531618529
promedio_periodo,include,Desempeno reciente; se imputa cuando no aplica por baja temporal.,212.82163081354514,0.036,0.777984531618529
materias_aprobadas,exclude,Variable heredada; en v2 se usa creditos aprobados y avance.,149.6906016016016,0.0,0.9658989681335355
materias_reprobadas,exclude,Alias heredado; se reemplaza por periodo y acumulado.,2.018222222222222,0.0,1.0
materias_en_curso,exclude,Alias heredado; se reemplaza por materias_en_curso_periodo.,3.2536126126126126,0.0,1.0
creditos_acumulados,exclude,Variable heredada; se reemplaza por creditos_aprobados_periodo y porcentaje_avance.,5711.723882882883,0.0,0.9988633365567896
porcentaje_avance,include,Lectura academica clara del progreso curricular.,765.5839815715715,0.0,0.9988633365567896
porcentaje_asistencia,include,Indicador normalizado de compromiso/asistencia.,541.7017260424425,0.0,0.934179226391875
faltas,exclude,Altamente inverso a porcentaje_asistencia; se mantiene el indicador normalizado.,49.75474574574574,0.0,0.934179226391875
retardos,include,Senal operativa distinta a la asistencia acumulada.,2.3587097097097094,0.0,0.2921075855932713
num_tutorias,exclude,Alias heredado; en v2 se separa en abiertas y cerradas.,3.0088478478478486,0.0,0.7181129868352616
num_asesorias,include,Mide apoyo academico complementario.,1.5723363363363365,0.0,0.5679237401192171
num_incidencias,include,Senal de eventos que pueden afectar trayectoria.,0.4604354354354355,0.0,0.2692247194387589
num_permisos,exclude,Alias heredado; en v2 se separa en permisos aprobados y rechazados.,1.9207367367367365,0.0,0.9453847171930152
recursamientos,include,Historial acumulado de repeticion de materias.,1.0183773773773772,0.0,0.739695807568059
rezago_materias,include,Indicador central de atraso academico.,1.7530170170170172,0.0,0.5283548780997722
creditos_inscritos_periodo,include,Carga academica real del periodo.,158.3832222222222,0.0,0.9278347291763697
creditos_aprobados_periodo,include,"Desempeno reciente en creditos, no solo materias.",170.59915515515516,0.0,0.9096091149327931
creditos_totales_plan,exclude,"Constante por plan/programa; descriptiva, no debe dominar clustering.",43.292792792792795,0.0,0.06577818560539309
periodos_cursados,include,Contexto temporal de avance academico.,8.122966966966969,0.0,0.9534339464061222
periodos_sin_inscripcion,include,Explica rezago y bajas de forma academica.,0.3472712712712713,0.0,0.5340945683111722
materias_reprobadas_periodo,include,Dificultad reciente del periodo.,0.726802802802803,0.0,0.6448765930374304
materias_reprobadas_acumuladas,include,Dificultad historica acumulada.,2.018222222222222,0.0,1.0
materias_en_curso_periodo,include,Carga actual validada contra estatus.,3.2536126126126126,0.0,1.0
tendencia_promedio,include,"Diferencia recuperacion, deterioro y estabilidad.",84.04653380503957,0.036,0.6445353607452003
varianza_calificaciones,include,Distingue desempeno estable de desempeno irregular.,229.61172821581584,0.0,0.2273124358299623
tutorias_abiertas,include,Seguimiento tutorial pendiente.,1.4607397397397397,0.0,0.6598707037168596
tutorias_cerradas,include,Acompanamiento tutorial completado.,1.7028028028028026,0.0,0.7181129868352616
compromisos_pendientes,include,Accionabilidad tutorial no resuelta.,1.8705545545545548,0.0,0.6039971321137287
compromisos_cumplidos,include,Respuesta del alumno al seguimiento.,2.9382822822822825,0.0,0.6274668113661446
permisos_aprobados,include,Contextualiza baja asistencia sin asumir abandono.,1.731087087087087,0.0,0.9453847171930152
permisos_rechazados,include,Senal operativa de ausencias sin soporte.,0.20410410410410412,0.0,0.31443792462143494
bandera_dato_incompleto,include,Permite que el modelo capture incertidumbre controlada.,0.03473873873873873,0.0,0.5489108858596162
